date,CMPAS_MAE,TMF_MAE,CMPAS_RMSE,TMF_RMSE
2021030100,0.229,0.2282,0.3491,0.3485
2021030101,0.2548,0.2376,0.365,0.3433
2021030102,0.2633,0.279,0.3736,0.4042
2021030103,0.2582,0.2665,0.3781,0.3999
2021030104,0.2249,0.2196,0.3496,0.3401
2021030105,0.1818,0.1753,0.3173,0.3022
2021030106,0.162,0.1551,0.3054,0.2789
2021030107,0.1475,0.1476,0.2497,0.2362
2021030108,0.1519,0.1478,0.2762,0.2682
2021030109,0.1704,0.17,0.3606,0.3621
2021030110,0.1169,0.1162,0.2261,0.2243
2021030111,0.1288,0.1152,0.3212,0.2779
2021030112,0.0953,0.0782,0.2314,0.2086
2021030113,0.0852,0.068,0.2698,0.219
2021030114,0.0474,0.0368,0.1687,0.1448
2021030115,0.0744,0.0289,0.3646,0.1463
2021030116,0.0417,0.0308,0.1535,0.1246
2021030117,0.0635,0.0372,0.5609,0.2409
2021030118,0.0215,0.0168,0.082,0.0693
2021030119,0.0192,0.0158,0.0909,0.0851
2021030120,0.013,0.0112,0.0577,0.0532
2021030121,0.0178,0.0167,0.086,0.0849
2021030122,0.0102,0.0093,0.058,0.0563
2021030123,0.0181,0.0148,0.1063,0.0876
2021030200,0.0107,0.0097,0.0532,0.0526
2021030201,0.0113,0.0105,0.0699,0.0699
2021030202,0.0129,0.0118,0.0659,0.0651
2021030203,0.0134,0.0102,0.0906,0.0659
2021030204,0.0148,0.0109,0.0598,0.0501
2021030205,0.0225,0.0146,0.0799,0.0496
2021030206,0.0228,0.0171,0.0745,0.0589
2021030207,0.0185,0.0148,0.058,0.0479
2021030208,0.0221,0.018,0.0718,0.0644
2021030209,0.0307,0.0242,0.1031,0.0729
2021030210,0.0449,0.0358,0.097,0.0811
2021030211,0.0443,0.0362,0.0983,0.0837
2021030212,0.0245,0.0217,0.0963,0.0921
2021030213,0.0205,0.0188,0.1507,0.152
2021030214,0.0225,0.0202,0.0904,0.0848
2021030215,0.0295,0.0243,0.1186,0.1087
2021030216,0.0264,0.0214,0.1152,0.1054
2021030217,0.0318,0.0267,0.1341,0.1213
2021030218,0.0267,0.0257,0.1018,0.1015
2021030219,0.0299,0.0286,0.0984,0.0978
2021030220,0.0292,0.0282,0.0904,0.0916
2021030221,0.0233,0.0227,0.0872,0.0833
2021030222,0.0261,0.0256,0.1136,0.1116
2021030223,0.0365,0.0353,0.1262,0.1201
2021030300,0.058,0.054,0.1679,0.1575
2021030301,0.0885,0.0855,0.1991,0.2027
2021030302,0.0822,0.0827,0.1781,0.1789
2021030303,0.0768,0.0762,0.139,0.138
2021030304,0.0871,0.0825,0.1402,0.1353
2021030305,0.0838,0.0703,0.1413,0.1276
2021030306,0.0381,0.0336,0.0712,0.0634
2021030307,0.0266,0.0214,0.07,0.0587
2021030308,0.0187,0.0145,0.0568,0.045
2021030309,0.0171,0.0141,0.0578,0.05
2021030310,0.0259,0.016,0.1434,0.0772
2021030311,0.0096,0.0076,0.0596,0.0502
2021030312,0.011,0.0088,0.102,0.0975
2021030313,0.0125,0.0099,0.0761,0.0641
2021030314,0.0092,0.0066,0.0844,0.077
2021030315,0.0428,0.0049,0.557,0.0456
2021030316,0.0046,0.0039,0.0575,0.0561
2021030317,0.0027,0.0021,0.0253,0.0213
2021030318,0.0012,0.0011,0.0161,0.0159
2021030319,0.0017,0.0014,0.017,0.0163
2021030320,0.0012,0.001,0.0109,0.0094
2021030321,0.0002,0.0002,0.0055,0.0054
2021030322,0.0004,0.0003,0.0057,0.0049
2021030323,0.0009,0.0007,0.0098,0.0089
2021030400,0.0005,0.0004,0.0063,0.0058
2021030401,0.0009,0.0007,0.0086,0.0074
2021030402,0.0011,0.0008,0.0117,0.0085
2021030403,0.0011,0.0008,0.0117,0.0092
2021030404,0.0011,0.001,0.0101,0.0096
2021030405,0.0017,0.0014,0.0127,0.011
2021030406,0.0034,0.0027,0.0178,0.0148
2021030407,0.005,0.0041,0.0265,0.0217
2021030408,0.0045,0.0035,0.0323,0.0246
2021030409,0.0055,0.0045,0.0287,0.0236
2021030410,0.0106,0.0057,0.0606,0.0411
2021030411,0.0112,0.0086,0.0778,0.0685
2021030412,0.0058,0.0041,0.0576,0.0506
2021030413,0.0347,0.0034,0.6119,0.0539
2021030414,0.0043,0.0034,0.0306,0.0266
2021030415,0.0021,0.0017,0.0241,0.0222
2021030416,0.0028,0.0019,0.0246,0.0178
2021030417,0.0028,0.002,0.0276,0.0207
