date,CMPAS_MAE,TMF_MAE,CMPAS_RMSE,TMF_RMSE
2021030100,0.2267,0.225,0.3458,0.3443
2021030101,0.2504,0.2341,0.358,0.3359
2021030102,0.266,0.2821,0.3708,0.3987
2021030103,0.261,0.2709,0.3891,0.4099
2021030104,0.2277,0.2203,0.3492,0.3367
2021030105,0.1945,0.1845,0.3446,0.3262
2021030106,0.1722,0.1625,0.3243,0.2884
2021030107,0.1485,0.147,0.2927,0.2712
2021030108,0.1597,0.1533,0.2953,0.286
2021030109,0.1705,0.1694,0.4112,0.4108
2021030110,0.1223,0.1208,0.2453,0.2425
2021030111,0.1313,0.117,0.3446,0.2873
2021030112,0.0981,0.0809,0.2369,0.2172
2021030113,0.0933,0.0696,0.3071,0.2587
2021030114,0.0459,0.0296,0.1529,0.1111
2021030115,0.0839,0.0363,0.385,0.176
2021030116,0.0475,0.0314,0.1643,0.1324
2021030117,0.0501,0.0246,0.2134,0.1121
2021030118,0.0197,0.0135,0.0627,0.0532
2021030119,0.0195,0.0137,0.1008,0.0922
2021030120,0.0144,0.0122,0.0623,0.0599
2021030121,0.0172,0.0163,0.0811,0.0791
2021030122,0.0127,0.0113,0.0688,0.067
2021030123,0.015,0.0129,0.0753,0.0748
2021030200,0.0103,0.0096,0.0529,0.0512
2021030201,0.0124,0.0118,0.0882,0.0881
2021030202,0.0142,0.0135,0.0729,0.0719
2021030203,0.0122,0.0067,0.0744,0.0555
2021030204,0.0161,0.0098,0.0696,0.0584
2021030205,0.0211,0.0124,0.0742,0.0411
2021030206,0.0255,0.0197,0.0788,0.0654
2021030207,0.0167,0.0131,0.052,0.0455
2021030208,0.0188,0.0135,0.0535,0.0456
2021030209,0.0289,0.0214,0.0834,0.0682
2021030210,0.0455,0.0364,0.0948,0.083
2021030211,0.0437,0.0341,0.091,0.0808
2021030212,0.022,0.0192,0.1068,0.1055
2021030213,0.0121,0.0112,0.062,0.0604
2021030214,0.0239,0.0202,0.1004,0.0915
2021030215,0.0269,0.0205,0.1066,0.0923
2021030216,0.0231,0.0184,0.1023,0.097
2021030217,0.0312,0.0249,0.1261,0.1141
2021030218,0.0309,0.03,0.1198,0.1202
2021030219,0.031,0.0299,0.0993,0.0981
2021030220,0.0225,0.0199,0.0664,0.0597
2021030221,0.0253,0.0244,0.1009,0.0947
2021030222,0.0252,0.0246,0.1263,0.1265
2021030223,0.0366,0.035,0.1237,0.1133
2021030300,0.0664,0.062,0.1868,0.1803
2021030301,0.0823,0.0788,0.1776,0.1721
2021030302,0.0752,0.0741,0.165,0.1642
2021030303,0.0817,0.0773,0.144,0.1408
2021030304,0.0827,0.0769,0.1315,0.125
2021030305,0.0842,0.0707,0.1385,0.125
2021030306,0.0391,0.034,0.0718,0.0641
2021030307,0.024,0.0171,0.0574,0.0454
2021030308,0.0204,0.0141,0.0636,0.0487
2021030309,0.0155,0.0106,0.0509,0.0391
2021030310,0.0275,0.0091,0.1627,0.0493
2021030311,0.0099,0.0081,0.0661,0.062
2021030312,0.0163,0.0137,0.1477,0.1427
2021030313,0.0101,0.0051,0.0561,0.0312
2021030314,0.008,0.005,0.0553,0.0478
2021030315,0.0239,0.0032,0.3916,0.0361
2021030316,0.0045,0.0037,0.0381,0.0346
2021030317,0.0019,0.0013,0.0143,0.0102
2021030318,0.0016,0.0015,0.0227,0.0226
2021030319,0.0024,0.0022,0.0235,0.0229
2021030320,0.001,0.0009,0.0097,0.0087
2021030321,0.0006,0.0005,0.0088,0.0088
2021030322,0.0005,0.0005,0.0066,0.0063
2021030323,0.0013,0.001,0.0112,0.0098
2021030400,0.0002,0.0002,0.004,0.0037
