date,CMPAS_MAE,TMF_MAE,CMPAS_RMSE,TMF_RMSE
2021030610,0.1627,0.1439,0.2789,0.2682
2021030611,0.1595,0.1214,0.3489,0.2352
2021030612,0.089,0.0855,0.2295,0.2264
2021030613,0.0423,0.031,0.1239,0.1038
2021030614,0.139,0.0894,0.4411,0.3026
2021030615,0.1074,0.0695,0.3178,0.202
2021030616,0.1348,0.0872,0.2745,0.1884
2021030617,0.0991,0.0905,0.1986,0.2013
2021030618,0.1034,0.0603,0.2266,0.1636
2021030619,0.1144,0.0953,0.3119,0.3186
2021030620,0.0463,0.0409,0.1101,0.1031
2021030621,0.0836,0.0569,0.3467,0.2074
2021030622,0.0768,0.0719,0.3149,0.3151
2021030623,0.0546,0.0368,0.2501,0.132
2021030700,0.0386,0.0279,0.1208,0.0972
2021030701,0.0376,0.0201,0.0965,0.0702
2021030702,0.2066,0.0656,1.6305,0.185
2021030703,0.0796,0.0629,0.1737,0.1444
2021030704,0.0988,0.071,0.1953,0.1517
2021030705,0.0722,0.061,0.1263,0.1125
2021030706,0.0416,0.0357,0.0847,0.0768
2021030707,0.049,0.0398,0.1049,0.0987
2021030708,0.0673,0.0675,0.1361,0.1501
2021030709,0.0626,0.054,0.1227,0.1115
2021030710,0.0698,0.0628,0.1412,0.1322
2021030711,0.1032,0.1005,0.3187,0.3233
2021030712,0.0872,0.0775,0.2428,0.2342
2021030713,0.0414,0.0379,0.0991,0.0991
2021030714,0.0219,0.0189,0.059,0.0554
2021030715,0.0121,0.0069,0.0466,0.0266
2021030716,0.0042,0.0015,0.0178,0.0123
2021030717,0.0046,0.0036,0.0197,0.0188
2021030718,0.0083,0.0029,0.0558,0.0164
2021030719,0.0061,0.0037,0.0352,0.0254
2021030720,0.01,0.0076,0.0385,0.0325
2021030721,0.0319,0.0175,0.1093,0.0487
2021030722,0.1149,0.1111,0.511,0.4627
2021030723,0.1474,0.1314,0.3786,0.3678
2021030800,0.4304,0.3862,0.8874,0.8075
2021030801,0.579,0.5128,1.001,0.9047
2021030802,0.658,0.6089,1.0128,0.9533
2021030803,0.5608,0.5092,1.0411,0.9618
2021030804,0.3684,0.3678,0.9319,0.9313
2021030805,0.227,0.2259,0.4684,0.4673
2021030806,0.1322,0.1333,0.2953,0.2914
2021030807,0.0898,0.0883,0.1948,0.1922
