date,CMPAS_MAE,TMF_MAE,CMPAS_RMSE,TMF_RMSE
2021030100,0.2206,0.2188,0.3443,0.343
2021030101,0.2547,0.2409,0.3608,0.3442
2021030102,0.2837,0.2853,0.3949,0.4032
2021030103,0.2603,0.2679,0.3722,0.3887
2021030104,0.2453,0.2372,0.3873,0.3766
2021030105,0.1836,0.1747,0.3285,0.3092
2021030106,0.1799,0.1695,0.3324,0.2913
2021030107,0.1657,0.1595,0.3272,0.299
2021030108,0.1509,0.1479,0.2806,0.272
2021030109,0.1598,0.1598,0.2644,0.2651
2021030110,0.1168,0.1142,0.2131,0.2101
2021030111,0.1331,0.124,0.3063,0.3049
2021030112,0.0923,0.0749,0.2217,0.1883
2021030113,0.1008,0.0783,0.3288,0.2617
2021030114,0.0485,0.0331,0.1772,0.1476
2021030115,0.0673,0.0244,0.3723,0.1325
2021030116,0.0395,0.0222,0.1439,0.104
2021030117,0.0508,0.0211,0.3923,0.0975
2021030118,0.02,0.0137,0.0694,0.0615
2021030119,0.0193,0.014,0.0787,0.071
2021030120,0.0139,0.0106,0.0568,0.0513
2021030121,0.0192,0.0179,0.0949,0.0936
2021030122,0.015,0.0135,0.0843,0.0823
2021030123,0.0213,0.0156,0.1275,0.0915
2021030200,0.0106,0.0096,0.0559,0.0556
2021030201,0.0106,0.0099,0.0502,0.0506
2021030202,0.0117,0.011,0.0626,0.0611
2021030203,0.0098,0.006,0.0453,0.0418
2021030204,0.0159,0.0094,0.0521,0.0347
2021030205,0.0207,0.0102,0.0727,0.0358
2021030206,0.0257,0.0204,0.0795,0.067
2021030207,0.0227,0.0174,0.0714,0.0561
2021030208,0.021,0.017,0.0723,0.07
2021030209,0.0309,0.0189,0.0888,0.0605
2021030210,0.0446,0.036,0.0937,0.0845
2021030211,0.0464,0.0365,0.0996,0.0881
2021030212,0.0223,0.0195,0.0725,0.0667
2021030213,0.0219,0.0211,0.2227,0.2217
2021030214,0.0181,0.0147,0.0879,0.0814
2021030215,0.0282,0.0212,0.1078,0.0877
2021030216,0.0276,0.0206,0.1245,0.1089
2021030217,0.0266,0.0223,0.1066,0.0984
2021030218,0.0288,0.0282,0.0993,0.099
2021030219,0.0327,0.0321,0.1034,0.105
2021030220,0.0244,0.024,0.0776,0.0782
2021030221,0.0196,0.0203,0.0722,0.0755
2021030222,0.0215,0.0217,0.0785,0.0747
2021030223,0.0419,0.0423,0.1417,0.1372
2021030300,0.0588,0.0574,0.1799,0.185
2021030301,0.0738,0.0715,0.1633,0.1612
2021030302,0.0855,0.0856,0.1804,0.1794
2021030303,0.0707,0.0668,0.1279,0.1223
2021030304,0.0885,0.0814,0.1467,0.1385
2021030305,0.079,0.0664,0.1322,0.1164
2021030306,0.0397,0.035,0.0755,0.0669
2021030307,0.0314,0.0223,0.0758,0.0581
2021030308,0.0178,0.0117,0.0505,0.0364
2021030309,0.0158,0.0117,0.0541,0.0463
2021030310,0.027,0.006,0.1663,0.0377
2021030311,0.008,0.0049,0.045,0.0342
2021030312,0.0077,0.0049,0.0581,0.0516
2021030313,0.0095,0.0053,0.0599,0.0298
2021030314,0.0129,0.0096,0.1312,0.1244
2021030315,0.0483,0.0007,0.6456,0.0101
2021030316,0.0054,0.0042,0.0434,0.039
2021030317,0.0035,0.0028,0.0327,0.0309
2021030318,0.0008,0.0007,0.0066,0.0061
2021030319,0.0025,0.0021,0.0237,0.0227
2021030320,0.0015,0.0012,0.0131,0.0118
2021030321,0,0,0.0006,0.0004
2021030322,0.0007,0.0005,0.007,0.0055
2021030323,0.0009,0.0008,0.0087,0.0078
2021030400,0.0008,0.0006,0.0081,0.0069
2021030401,0.001,0.0008,0.009,0.0073
2021030402,0.0014,0.0008,0.0116,0.0071
2021030403,0.0012,0.0009,0.0115,0.0085
2021030404,0.0008,0.0007,0.008,0.0074
2021030405,0.001,0.0008,0.0091,0.0072
2021030406,0.0037,0.0031,0.0183,0.0166
2021030407,0.0045,0.0037,0.0247,0.0229
2021030408,0.0034,0.0026,0.0194,0.0154
2021030409,0.0057,0.0044,0.0304,0.0248
2021030410,0.0092,0.0035,0.0466,0.0245
2021030411,0.0088,0.0025,0.0555,0.0151
2021030412,0.0082,0.0048,0.0592,0.0382
2021030413,0.0074,0.002,0.0549,0.0266
2021030414,0.005,0.0035,0.035,0.0303
2021030415,0.0009,0.0006,0.0078,0.0056
2021030416,0.0016,0.0009,0.0157,0.0086
2021030417,0.0039,0.0024,0.0334,0.0192
2021030418,0.0032,0.0011,0.0291,0.0112
2021030419,0.0031,0.0026,0.0513,0.0502
2021030420,0.0041,0.0018,0.0486,0.0205
2021030421,0.003,0.0005,0.0382,0.0092
2021030422,0.0036,0.0017,0.0314,0.0137
2021030423,0.0057,0.0032,0.0275,0.0152
2021030500,0.0073,0.0018,0.0646,0.0168
2021030501,0.0137,0.0091,0.0829,0.0613
2021030502,0.0112,0.0065,0.0355,0.0232
2021030503,0.0203,0.013,0.0654,0.0513
2021030504,0.0228,0.0184,0.0667,0.0636
2021030505,0.0608,0.0384,0.1748,0.1418
2021030506,0.0405,0.0338,0.1281,0.1241
2021030507,0.0202,0.0195,0.0925,0.0926
2021030508,0.01,0.0095,0.0476,0.0499
2021030509,0.0069,0.0075,0.0335,0.0348
2021030510,0.0037,0.0036,0.0191,0.0179
2021030511,0.0097,0.0088,0.1425,0.1422
2021030512,0.0019,0.0013,0.0112,0.0078
2021030513,0.0092,0.0085,0.0953,0.095
2021030514,0.0332,0.0341,0.4861,0.5061
2021030515,0.0095,0.009,0.0398,0.0394
2021030516,0.0053,0.0048,0.0443,0.0437
2021030518,0.0037,0.0025,0.0245,0.0199
2021030519,0.0103,0.0102,0.0602,0.0664
2021030520,0.0134,0.0132,0.0551,0.0551
2021030521,0.0232,0.0219,0.0997,0.0965
2021030522,0.0235,0.0225,0.0897,0.0818
2021030523,0.0197,0.01,0.0973,0.0366
2021030600,0.0097,0.0091,0.041,0.0394
2021030601,0.018,0.0175,0.0586,0.0566
2021030602,0.0165,0.0161,0.0545,0.0556
2021030603,0.0238,0.0211,0.0746,0.0709
2021030604,0.0313,0.0202,0.1004,0.0694
2021030605,0.0295,0.0128,0.0831,0.0415
2021030606,0.0417,0.0183,0.1039,0.0592
2021030607,0.0552,0.0228,0.1381,0.0623
2021030608,0.0811,0.0403,0.2001,0.1238
2021030609,0.1796,0.1141,0.3521,0.2186
2021030610,0.1522,0.1215,0.2544,0.2231
2021030611,0.1079,0.0899,0.2197,0.1659
2021030612,0.0569,0.0535,0.1331,0.127
2021030613,0.0533,0.0447,0.1875,0.1758
2021030614,0.0889,0.0536,0.2738,0.2005
2021030615,0.0992,0.0645,0.2726,0.2053
2021030616,0.1013,0.0867,0.2507,0.2269
2021030617,0.1269,0.1031,0.32,0.2763
2021030618,0.1051,0.0775,0.2647,0.1784
2021030619,0.1038,0.075,0.3338,0.2771
2021030620,0.0515,0.0409,0.1463,0.1029
2021030621,0.0357,0.0298,0.1528,0.1217
2021030622,0.0321,0.0262,0.1344,0.1238
2021030623,0.0481,0.0405,0.1861,0.1829
2021030700,0.0425,0.0307,0.1428,0.1151
2021030701,0.0477,0.0264,0.1586,0.1072
2021030702,0.1914,0.0733,1.5918,0.3058
2021030703,0.0883,0.0705,0.2157,0.1725
2021030704,0.0985,0.0777,0.2094,0.186
2021030705,0.0676,0.0607,0.1366,0.1337
2021030706,0.0449,0.0385,0.0982,0.0917
2021030707,0.0519,0.0443,0.1253,0.1222
2021030708,0.0653,0.0631,0.1368,0.1613
2021030709,0.074,0.0634,0.1372,0.1257
2021030710,0.0832,0.0753,0.1864,0.1796
2021030711,0.0927,0.0897,0.2361,0.2355
2021030712,0.0806,0.0751,0.225,0.2232
2021030713,0.0379,0.0351,0.0992,0.0989
2021030714,0.0205,0.018,0.0505,0.0487
2021030715,0.0128,0.0062,0.0703,0.0286
2021030716,0.0157,0.0034,0.1367,0.0279
2021030717,0.0068,0.0033,0.08,0.0279
2021030718,0.0042,0.0013,0.0409,0.0112
2021030719,0.0046,0.0025,0.0305,0.0154
2021030720,0.0077,0.0061,0.0312,0.0278
2021030721,0.0286,0.0169,0.1005,0.0628
2021030722,0.0882,0.0818,0.364,0.369
2021030723,0.1536,0.126,0.4188,0.3651
2021030800,0.3777,0.3378,0.7528,0.6934
2021030801,0.6148,0.571,1.073,1.0104
2021030802,0.6788,0.6542,1.0753,1.0295
2021030803,0.627,0.6016,1.1863,1.1065
2021030804,0.3127,0.313,0.6882,0.6886
2021030805,0.2447,0.2458,0.5075,0.51
2021030806,0.1386,0.1386,0.3111,0.3063
2021030807,0.0911,0.0902,0.2174,0.2164
2021030808,0.0747,0.0664,0.1679,0.162
2021030809,0.0507,0.0279,0.1228,0.0836
2021030810,0.035,0.0184,0.1618,0.1386
2021030811,0.0326,0.0171,0.1737,0.1398
2021030812,0.0138,0.0083,0.0794,0.0636
2021030813,0.0073,0.0068,0.0486,0.0483
2021030814,0.0102,0.0086,0.0659,0.0636
2021030815,0.0055,0.0046,0.037,0.0347
2021030816,0.0049,0.0044,0.0382,0.0377
2021030817,0.0062,0.004,0.0373,0.0272
2021030818,0.0025,0.002,0.015,0.0131
2021030819,0.0632,0.0057,0.9664,0.0795
2021030820,0.0032,0.0027,0.0391,0.0381
2021030821,0.0018,0.0013,0.0183,0.0133
2021030822,0.0116,0.001,0.1077,0.0137
2021030823,0.0042,0.0032,0.0318,0.0272
2021030900,0.0013,0.0012,0.0102,0.0099
2021030901,0.002,0.0015,0.0131,0.0106
2021030902,0.0064,0.0031,0.0414,0.0199
2021030903,0.0159,0.0051,0.084,0.0445
2021030904,0.0199,0.0043,0.0949,0.0391
2021030905,0.0188,0.0021,0.2157,0.0273
2021030906,0.0133,0.005,0.0905,0.03
2021030907,0.0092,0.0052,0.0548,0.0325
2021030908,0.004,0.0028,0.0392,0.025
2021030909,0.003,0.002,0.0154,0.0109
2021030910,0.0096,0.0071,0.0774,0.0525
2021030911,0.0252,0.0162,0.2474,0.2367
2021030912,0.0033,0.0017,0.0175,0.0138
2021030913,0.0106,0.0012,0.1174,0.0123
2021030914,0.0023,0.0017,0.0172,0.0148
2021030915,0.0033,0.0019,0.0347,0.0332
