date,CMPAS_MAE,TMF_MAE,CMPAS_RMSE,TMF_RMSE
2021030100,0.2262,0.2244,0.35,0.3495
2021030101,0.2549,0.2398,0.3653,0.3446
2021030102,0.2565,0.2731,0.3676,0.4019
2021030103,0.26,0.2671,0.3837,0.3931
2021030104,0.2261,0.2188,0.3567,0.3462
2021030105,0.1825,0.1747,0.3162,0.2989
2021030106,0.1563,0.1488,0.2953,0.2643
2021030107,0.1592,0.1547,0.2995,0.2746
2021030108,0.1465,0.1414,0.2501,0.2388
2021030109,0.1723,0.1711,0.3837,0.3832
2021030110,0.1161,0.114,0.1984,0.1946
2021030111,0.138,0.1249,0.3511,0.306
2021030112,0.1006,0.082,0.2421,0.2176
2021030113,0.0842,0.0646,0.2605,0.1876
2021030114,0.0512,0.036,0.1937,0.1636
2021030115,0.0742,0.0294,0.3684,0.1535
2021030116,0.0361,0.023,0.1409,0.1027
2021030117,0.0553,0.0219,0.3824,0.0989
2021030118,0.0223,0.0166,0.0884,0.074
2021030119,0.0197,0.0152,0.0981,0.0903
2021030120,0.013,0.0105,0.0588,0.0546
2021030121,0.0186,0.017,0.0891,0.0896
2021030122,0.0093,0.0084,0.0546,0.0526
2021030123,0.0218,0.0171,0.1166,0.0907
2021030200,0.01,0.0094,0.0516,0.0526
2021030201,0.0107,0.0099,0.0733,0.0733
2021030202,0.0134,0.0118,0.0667,0.0666
2021030203,0.0142,0.0091,0.1015,0.0549
2021030204,0.0161,0.0106,0.0666,0.0554
2021030205,0.0225,0.0124,0.0811,0.0439
2021030206,0.0228,0.0174,0.0763,0.06
2021030207,0.0199,0.0154,0.0618,0.0507
2021030208,0.0191,0.0145,0.0644,0.0555
2021030209,0.0269,0.0189,0.0666,0.0595
2021030210,0.0437,0.0343,0.0964,0.0804
2021030211,0.0461,0.0372,0.1067,0.0961
2021030212,0.0242,0.0202,0.1027,0.0981
2021030213,0.0228,0.0218,0.1778,0.1771
2021030214,0.0195,0.0166,0.0773,0.0683
2021030215,0.0329,0.0266,0.1224,0.1096
2021030216,0.0279,0.0223,0.1199,0.1156
2021030217,0.0281,0.0228,0.1161,0.0996
2021030218,0.0259,0.025,0.091,0.0919
2021030219,0.0301,0.0295,0.1014,0.1046
2021030220,0.0316,0.0304,0.0958,0.0986
2021030221,0.0223,0.0217,0.0842,0.0802
2021030222,0.0289,0.0287,0.1376,0.1357
2021030223,0.037,0.0357,0.1381,0.1319
2021030300,0.0606,0.0573,0.1735,0.1659
2021030301,0.0899,0.0863,0.2007,0.1969
2021030302,0.0776,0.0766,0.169,0.1675
2021030303,0.0787,0.0753,0.1421,0.1373
2021030304,0.0839,0.0797,0.1397,0.1395
2021030305,0.0815,0.0683,0.1363,0.122
2021030306,0.0374,0.0336,0.0699,0.0635
