date,CMPAS_MAE,TMF_MAE,CMPAS_RMSE,TMF_RMSE
2021030100,0.2316,0.2296,0.3507,0.3485
2021030101,0.2538,0.2282,0.362,0.3296
2021030102,0.2673,0.2831,0.3741,0.4096
2021030103,0.2464,0.2613,0.3773,0.4029
2021030104,0.2188,0.2153,0.3273,0.3257
2021030105,0.1935,0.1857,0.3266,0.3049
2021030106,0.1528,0.1481,0.2766,0.2542
2021030107,0.1694,0.1672,0.3386,0.3294
2021030108,0.1538,0.152,0.279,0.2746
2021030109,0.173,0.1728,0.5204,0.5203
2021030110,0.1142,0.112,0.2175,0.2107
2021030111,0.1282,0.1163,0.3134,0.3087
2021030112,0.1043,0.0818,0.2425,0.2243
2021030113,0.0915,0.0657,0.3039,0.2032
2021030114,0.0592,0.0464,0.2097,0.1944
2021030115,0.0744,0.031,0.3318,0.133
2021030116,0.045,0.0345,0.1677,0.1614
2021030117,0.0442,0.0223,0.2183,0.0942
2021030118,0.021,0.0158,0.0766,0.0766
2021030119,0.0199,0.0131,0.0761,0.065
2021030120,0.0151,0.0127,0.0633,0.0587
2021030121,0.022,0.0207,0.1097,0.1069
2021030122,0.0078,0.0058,0.0391,0.0285
2021030123,0.0172,0.0107,0.0953,0.0555
2021030200,0.0087,0.0072,0.0359,0.0323
2021030201,0.007,0.0064,0.0311,0.0304
2021030202,0.0085,0.0081,0.0452,0.043
2021030203,0.0113,0.0067,0.0519,0.0461
2021030204,0.011,0.0053,0.0392,0.0183
2021030205,0.0305,0.0154,0.0989,0.047
2021030206,0.0257,0.0184,0.0816,0.0624
2021030207,0.0188,0.014,0.0541,0.0417
2021030208,0.0172,0.0119,0.0573,0.0427
2021030209,0.0318,0.0211,0.0907,0.0822
2021030210,0.0466,0.0401,0.0974,0.0905
2021030211,0.0523,0.0415,0.1174,0.0993
2021030212,0.0215,0.018,0.0639,0.0553
2021030213,0.0196,0.0185,0.1043,0.1069
2021030214,0.02,0.0154,0.0686,0.0613
2021030215,0.0295,0.0226,0.1058,0.0913
2021030216,0.0277,0.0202,0.1077,0.0829
2021030217,0.0287,0.0258,0.1283,0.1028
2021030218,0.0257,0.0253,0.0859,0.0851
2021030219,0.029,0.028,0.0895,0.087
2021030220,0.0346,0.0351,0.0944,0.1036
2021030221,0.0223,0.0221,0.0754,0.0753
2021030222,0.0267,0.0249,0.1127,0.107
2021030223,0.0326,0.0298,0.1109,0.0977
2021030300,0.0545,0.0479,0.1614,0.136
2021030301,0.0878,0.0861,0.1978,0.2019
2021030302,0.0897,0.0882,0.1743,0.1719
2021030303,0.0709,0.0695,0.1401,0.1429
2021030304,0.0891,0.0827,0.1411,0.1345
2021030305,0.0805,0.0665,0.138,0.1244
2021030306,0.0385,0.034,0.072,0.0646
2021030307,0.0248,0.0203,0.0825,0.0778
2021030308,0.016,0.0097,0.0426,0.0305
2021030309,0.0122,0.0076,0.0387,0.0263
2021030310,0.0253,0.0092,0.1299,0.0593
2021030311,0.0075,0.0045,0.041,0.0233
2021030312,0.0104,0.0074,0.0709,0.0441
2021030313,0.0089,0.0056,0.0465,0.0328
2021030314,0.0062,0.003,0.0352,0.0172
2021030315,0.0764,0.0011,0.8115,0.0124
2021030316,0.0022,0.0016,0.0141,0.0111
2021030317,0.0045,0.0031,0.0284,0.0187
2021030318,0.0027,0.0026,0.0317,0.0315
2021030319,0.0015,0.0013,0.0116,0.0108
2021030320,0.0015,0.0011,0.0114,0.0091
2021030321,0.0006,0.0006,0.0103,0.0102
2021030322,0,0,0,0
2021030323,0.0004,0.0003,0.0054,0.0035
2021030400,0.0002,0.0001,0.0024,0.0016
2021030401,0.0014,0.001,0.0106,0.0087
2021030402,0.0017,0.001,0.0193,0.0121
2021030403,0.0012,0.0008,0.0123,0.0086
2021030404,0.001,0.0009,0.0094,0.009
2021030405,0.0019,0.0017,0.0144,0.0135
2021030406,0.0041,0.0029,0.0213,0.0166
2021030407,0.0059,0.0044,0.0323,0.0264
2021030408,0.006,0.0038,0.0374,0.0218
2021030409,0.0033,0.0023,0.0169,0.0133
2021030410,0.0175,0.0067,0.0919,0.0491
2021030411,0.0051,0.0012,0.0334,0.0085
2021030412,0.0072,0.004,0.0559,0.0467
2021030413,0.0768,0.0015,0.9308,0.0213
2021030414,0.0038,0.0024,0.0212,0.0151
2021030415,0.0024,0.0018,0.0168,0.0122
2021030416,0.0043,0.0024,0.0336,0.0177
2021030417,0.0031,0.0016,0.0361,0.0188
2021030418,0.0043,0.0009,0.0325,0.0078
2021030419,0.0032,0.0002,0.036,0.0026
2021030420,0.0023,0.0007,0.0404,0.0117
2021030421,0.0083,0.0003,0.1157,0.0051
2021030422,0.0038,0.0016,0.0343,0.0142
2021030423,0.0071,0.0039,0.0304,0.0166
2021030500,0.0055,0.0024,0.0291,0.0205
2021030501,0.0107,0.0075,0.0541,0.0516
2021030502,0.0121,0.0064,0.0383,0.0234
2021030503,0.0151,0.0083,0.0437,0.0333
2021030504,0.0235,0.0161,0.074,0.0557
2021030505,0.0532,0.0302,0.1524,0.1116
2021030506,0.0436,0.033,0.1367,0.1214
2021030507,0.0232,0.0229,0.1032,0.1201
2021030508,0.0141,0.0141,0.0737,0.0711
2021030509,0.0099,0.01,0.0584,0.0562
2021030510,0.0061,0.0056,0.0299,0.029
2021030511,0.0035,0.0027,0.0209,0.0165
2021030512,0.0022,0.002,0.0134,0.0129
2021030513,0.0104,0.0097,0.1137,0.1135
2021030514,0.0092,0.0096,0.054,0.0665
2021030515,0.0095,0.0091,0.0563,0.056
2021030516,0.0107,0.0106,0.0733,0.0734
2021030518,0.0053,0.0046,0.0433,0.0424
2021030519,0.0041,0.0033,0.0256,0.0299
2021030520,0.0127,0.0116,0.0581,0.0565
2021030521,0.025,0.0225,0.0799,0.0765
2021030522,0.0224,0.0211,0.0737,0.0715
2021030523,0.0191,0.013,0.0896,0.0584
2021030600,0.0082,0.0077,0.0344,0.033
2021030601,0.0149,0.0141,0.0596,0.0593
2021030602,0.0172,0.0167,0.0736,0.074
2021030603,0.0255,0.0237,0.0722,0.071
2021030604,0.0368,0.0247,0.1084,0.0778
2021030605,0.0411,0.0185,0.1114,0.0703
2021030606,0.0435,0.0202,0.117,0.0838
2021030607,0.055,0.024,0.1463,0.0715
2021030608,0.1017,0.0505,0.2261,0.1485
2021030609,0.2069,0.1262,0.3977,0.2521
2021030610,0.1491,0.1172,0.2445,0.1909
2021030611,0.1049,0.0947,0.219,0.1839
2021030612,0.0544,0.0506,0.133,0.1251
2021030613,0.0652,0.044,0.2427,0.158
2021030614,0.0857,0.0474,0.2185,0.1582
2021030615,0.0852,0.057,0.2267,0.1585
2021030616,0.1335,0.0898,0.3087,0.1956
2021030617,0.1111,0.0845,0.2803,0.1936
2021030618,0.109,0.08,0.4148,0.2407
2021030619,0.0681,0.0584,0.1818,0.1748
2021030620,0.0712,0.058,0.2325,0.221
