date,CMPAS_MAE,TMF_MAE,CMPAS_RMSE,TMF_RMSE
2021030100,0.2237,0.2236,0.343,0.3458
2021030101,0.2633,0.2439,0.3802,0.3533
2021030102,0.2711,0.2854,0.3836,0.4079
2021030103,0.2584,0.2737,0.3892,0.4102
2021030104,0.2191,0.2139,0.3524,0.3442
2021030105,0.1821,0.1777,0.3256,0.3119
2021030106,0.1579,0.1556,0.2904,0.275
2021030107,0.153,0.1513,0.2783,0.2706
2021030108,0.1568,0.1521,0.2871,0.2776
2021030109,0.1773,0.1758,0.405,0.4044
2021030110,0.1144,0.1129,0.2111,0.2072
2021030111,0.1354,0.1193,0.3411,0.2917
2021030112,0.0932,0.0747,0.2195,0.1945
2021030113,0.0774,0.0583,0.2611,0.1935
2021030114,0.0445,0.0326,0.1613,0.153
2021030115,0.0837,0.0352,0.3593,0.1612
2021030116,0.0385,0.0242,0.1471,0.1117
2021030117,0.054,0.0198,0.576,0.1012
2021030118,0.0231,0.015,0.0855,0.0744
2021030119,0.0193,0.0141,0.0953,0.0894
2021030120,0.0127,0.0105,0.0602,0.0579
2021030121,0.0177,0.0167,0.0868,0.0853
2021030122,0.0099,0.009,0.0559,0.0538
2021030123,0.0208,0.0153,0.1241,0.0975
2021030200,0.0116,0.0112,0.057,0.0598
2021030201,0.0121,0.0114,0.079,0.0787
2021030202,0.0109,0.01,0.0482,0.0484
2021030203,0.0172,0.0103,0.1115,0.0651
2021030204,0.0121,0.0076,0.0455,0.0321
2021030205,0.0216,0.012,0.0788,0.0412
2021030206,0.0257,0.0186,0.08,0.0623
2021030207,0.0186,0.0142,0.0546,0.0446
2021030208,0.0204,0.0155,0.0613,0.0521
2021030209,0.0333,0.0237,0.1192,0.0701
2021030210,0.0454,0.0369,0.0942,0.0835
2021030211,0.044,0.036,0.0966,0.0888
2021030212,0.0223,0.0185,0.0707,0.0651
2021030213,0.0208,0.0198,0.1051,0.1039
2021030214,0.0234,0.0201,0.0994,0.0949
2021030215,0.0322,0.0256,0.1255,0.1117
2021030216,0.0264,0.0212,0.1164,0.1069
2021030217,0.0268,0.0229,0.133,0.1192
2021030218,0.0284,0.0276,0.1084,0.1092
2021030219,0.0317,0.0305,0.1026,0.1031
2021030220,0.0267,0.0253,0.0801,0.0776
2021030221,0.0247,0.0241,0.0893,0.0854
2021030222,0.0277,0.0272,0.1383,0.1366
2021030223,0.0392,0.0366,0.1432,0.135
2021030300,0.0577,0.0557,0.1789,0.1776
2021030301,0.0933,0.0899,0.2158,0.2146
2021030302,0.0798,0.0788,0.1716,0.1697
2021030303,0.0754,0.072,0.1407,0.1381
2021030304,0.0861,0.0801,0.138,0.1324
2021030305,0.0815,0.0689,0.1398,0.1251
2021030306,0.0401,0.0347,0.0741,0.0653
2021030307,0.0243,0.0176,0.0549,0.0451
2021030308,0.0174,0.0113,0.0525,0.0351
2021030309,0.0169,0.013,0.0579,0.0472
2021030310,0.0281,0.0085,0.1382,0.0481
2021030311,0.0132,0.0107,0.079,0.0666
2021030312,0.0064,0.0043,0.0354,0.0259
2021030313,0.0135,0.0086,0.0844,0.068
2021030314,0.0076,0.0039,0.0464,0.0249
2021030315,0.0395,0.0021,0.4488,0.0264
2021030316,0.003,0.0021,0.0196,0.015
