date,CMPAS_MAE,TMF_MAE,CMPAS_RMSE,TMF_RMSE
20210301,0.1161,0.1092,0.2904,0.2502
20210302,0.0251,0.021,0.098,0.0875
20210303,0.0287,0.0236,0.1324,0.087
20210304,0.0051,0.0025,0.1023,0.03
20210305,0.015,0.0122,0.0754,0.0675
20210306,0.0727,0.0508,0.2074,0.1506
20210307,0.0547,0.043,0.2055,0.1492
20210308,0.1414,0.129,0.5025,0.4412
20210309,0.0127,0.0048,0.2455,0.0575
20210310,0.0953,0.0793,0.3615,0.2896
20210311,0.0121,0.0085,0.1082,0.0539
20210312,0.0068,0.0013,0.2267,0.0356
20210313,0.0015,0.0012,0.0283,0.0247
20210314,0.0083,0.0029,0.2327,0.049
20210315,0.2279,0.1897,1.2104,1.0414
20210316,0.4,0.3269,1.5726,1.3875
20210317,0.1927,0.1245,1.1794,0.9082
20210318,0.2347,0.1884,1.1076,0.9383
20210319,0.0641,0.0483,0.3261,0.2658
20210320,0.192,0.1644,0.4271,0.3742
20210321,0.2924,0.264,0.601,0.5453
20210322,0.0209,0.0086,0.2291,0.0694
20210323,0.0126,0.0069,0.1512,0.0983
20210324,0.0026,0.0022,0.0608,0.0598
20210325,0.0055,0.0037,0.0904,0.0405
20210326,0.1295,0.1129,0.3584,0.3059
20210327,0.0321,0.02,0.2747,0.1148
20210328,0.0026,0.0018,0.0445,0.0333
20210329,0.0017,0.0011,0.0338,0.0221
20210330,0.5895,0.4717,2.3624,1.93
20210331,0.0275,0.0194,0.3663,0.2439
20210401,0.4125,0.3631,1.2922,1.1695
20210402,0.1657,0.139,0.4759,0.3712
20210403,0.1071,0.0843,0.5387,0.2439
20210404,0.0349,0.0264,0.1869,0.1463
20210405,0.0126,0.0089,0.0813,0.0702
20210406,0.168,0.16,0.4597,0.4254
20210407,0.2903,0.2792,0.5733,0.5445
20210408,0.0346,0.0154,0.2173,0.1236
20210409,0.0069,0.0047,0.0837,0.0699
20210410,0.1063,0.0871,0.379,0.3153
20210411,0.0472,0.0405,0.2972,0.2133
20210412,0.0721,0.0631,0.3647,0.3216
20210413,0.0519,0.0373,0.459,0.1999
20210414,0.1188,0.0901,0.5895,0.2834
20210415,0.0435,0.0287,0.1888,0.1565
20210416,0.2596,0.2421,0.7236,0.6604
20210417,0.0259,0.0202,0.1133,0.0826
20210418,0.0882,0.0757,0.3213,0.2407
20210419,0.0466,0.0276,0.5433,0.2146
20210420,0.2369,0.2047,0.7722,0.7011
20210421,0.1056,0.0854,0.5699,0.4993
20210422,0.0055,0.0031,0.207,0.0338
20210423,0.1376,0.1108,0.817,0.694
20210424,0.5204,0.4305,1.5352,1.2662
20210425,0.1254,0.0956,0.3649,0.2817
20210426,0.136,0.1095,0.4019,0.3563
20210427,0.02,0.0101,0.1674,0.1001
20210428,0.1447,0.0854,0.6825,0.541
20210429,0.0036,0.0011,0.1066,0.0162
20210430,0.001,0.0007,0.0237,0.0194
20210501,0.0006,0.0004,0.0271,0.0154
20210502,0.1316,0.1091,1.9186,1.821
20210503,1.2045,1.1276,4.1862,3.7759
20210504,0.066,0.0364,0.5839,0.4171
20210505,0.3879,0.3687,1.1809,1.1483
20210506,0.4667,0.4196,1.1365,1.0657
20210507,0.0689,0.0396,0.2832,0.1932
20210508,0.0027,0.002,0.0351,0.0279
20210509,0.0473,0.0094,0.9103,0.2791
20210510,0.2881,0.1911,1.4084,1.1321
20210511,0.3888,0.304,1.4387,1.225
20210512,0.0416,0.0255,0.2539,0.2061
20210513,0.4653,0.3737,1.835,1.6028
20210514,0.4419,0.3552,1.9077,1.7043
20210515,0.8606,0.7486,3.1756,2.8121
20210516,0.3183,0.2745,1.0388,0.9039
20210517,0.0617,0.0421,0.4203,0.2595
20210518,0.0852,0.0681,0.3093,0.2584
20210519,0.111,0.093,0.491,0.4553
20210520,0.0131,0.0063,0.1153,0.0517
20210521,0.0155,0.0109,0.2756,0.1533
20210522,0.1735,0.1247,0.9005,0.6199
20210523,0.2915,0.2447,1.0168,0.7373
20210524,0.0908,0.0693,0.2818,0.2288
20210525,0.0676,0.0626,0.2543,0.2405
20210526,0.2958,0.2826,0.7318,0.6979
20210527,0.0078,0.0046,0.0788,0.0436
20210528,0.0293,0.0225,0.1747,0.1324
20210529,0.2197,0.1643,0.8238,0.6997
20210530,0.0128,0.0045,0.161,0.0362
20210531,0.0288,0.0266,0.6317,0.6277
20210601,0.0607,0.0371,0.7577,0.5785
20210602,0.1196,0.0801,0.5273,0.4499
20210603,0.4899,0.4149,1.2308,1.0121
20210604,0.0085,0.0036,0.2066,0.0851
20210605,0.0051,0.0016,0.2331,0.0407
20210606,0.0011,0.0006,0.0476,0.0386
20210607,0.0009,0.0006,0.0194,0.014
20210608,0.0152,0.0088,0.3489,0.3255
20210609,0.4029,0.368,0.9656,0.8972
20210610,0.1468,0.122,0.6405,0.5253
20210611,0.1342,0.1102,0.7332,0.6734
20210612,0.1551,0.1235,0.6029,0.5144
20210613,0.0254,0.0152,0.4452,0.3897
20210614,0.0042,0.0022,0.1502,0.1198
20210615,0.0383,0.016,0.4503,0.2926
20210616,0.0437,0.0157,0.7025,0.3586
20210617,0.4723,0.2987,2.6306,1.9807
20210618,0.7862,0.716,2.7073,2.4689
20210619,0.4264,0.378,1.5141,1.4383
20210620,0.1753,0.1343,1.1503,0.9355
20210621,0.0244,0.015,0.2557,0.2065
20210622,0.0008,0.0007,0.0188,0.0184
20210623,0.0013,0.001,0.0296,0.0266
20210624,0.0463,0.0255,0.319,0.2425
20210625,0.1765,0.1111,1.0055,0.776
20210626,0.1717,0.15,0.9363,0.8955
20210627,0.7841,0.6218,2.8843,2.5263
20210628,0.7633,0.5336,3.2232,2.685
20210629,0.6656,0.3851,3.0332,2.0436
20210630,0.4387,0.247,2.0928,1.4857
20210701,0.6992,0.5012,2.7868,2.3202
20210702,0.5174,0.4284,1.5532,1.2744
20210703,0.2482,0.1966,0.9713,0.8195
20210704,0.225,0.1801,0.9509,0.8521
20210705,1.0356,0.7945,3.0672,2.4306
20210706,0.472,0.3268,1.9195,1.577
20210707,0.8515,0.6436,3.5961,2.9811
20210708,0.9544,0.7396,3.6918,3.0105
20210709,0.1843,0.1257,1.2016,0.9155
20210710,0.1819,0.1388,1.3181,0.8975
20210711,0.5141,0.4455,2.0727,1.8344
20210712,0.5545,0.4523,2.5515,2.3196
20210713,0.0086,0.0048,0.2423,0.2119
20210714,0.0022,0.0016,0.0499,0.0378
20210715,0.1195,0.0829,1.4429,1.1202
20210716,1.1811,0.905,3.9264,3.1602
20210717,0.7271,0.5951,2.9479,2.5856
20210718,0.3584,0.2079,2.1404,1.6545
20210719,0.8078,0.521,3.7894,2.7834
20210720,0.3595,0.1662,2.622,1.4236
20210721,0.3108,0.1854,1.787,1.4204
20210722,0.0751,0.0515,0.83,0.7364
20210723,0.136,0.0865,1.3761,1.0772
20210724,0.1593,0.0682,1.3994,0.671
20210725,0.1179,0.0724,1.1485,0.8944
20210726,0.137,0.0739,1.555,1.0898
20210727,0.4775,0.3056,2.8059,2.2139
20210728,0.3034,0.1703,1.7437,1.3764
20210729,0.0623,0.039,0.8288,0.6816
20210730,0.029,0.0201,0.5854,0.4983
20210731,0.0088,0.0059,0.2108,0.1975
