date,CMPAS_MAE,TMF_MAE,CMPAS_RMSE,TMF_RMSE
20210301,0.1153,0.1085,0.284,0.2442
20210302,0.0247,0.0207,0.0965,0.0872
20210303,0.0296,0.0243,0.1622,0.0906
20210304,0.0054,0.0026,0.1268,0.0292
20210305,0.0149,0.0123,0.0762,0.069
20210306,0.0731,0.0525,0.2124,0.1631
20210307,0.0567,0.0447,0.2626,0.1515
20210308,0.1405,0.129,0.493,0.4423
20210309,0.011,0.0047,0.1872,0.0637
20210310,0.0961,0.0798,0.3915,0.332
20210311,0.0117,0.0087,0.0812,0.0504
20210312,0.0051,0.0018,0.1513,0.0467
20210313,0.0016,0.0013,0.0366,0.0347
20210314,0.0078,0.0031,0.2398,0.0806
20210315,0.2311,0.1984,1.1876,1.0827
20210316,0.3976,0.3294,1.6004,1.3848
20210317,0.1872,0.1206,1.1097,0.8288
20210318,0.2328,0.1893,1.047,0.9215
20210319,0.0655,0.0508,0.3222,0.2665
20210320,0.1954,0.168,0.4432,0.392
20210321,0.2896,0.2622,0.5596,0.5087
20210322,0.0207,0.0082,0.2344,0.0601
20210323,0.0119,0.0064,0.1429,0.0639
20210324,0.0026,0.0023,0.058,0.0565
20210325,0.0056,0.004,0.0644,0.041
20210326,0.1296,0.1133,0.3561,0.3055
20210327,0.0335,0.0209,0.2916,0.1147
20210328,0.0024,0.0018,0.0397,0.03
20210329,0.0017,0.0011,0.0364,0.025
20210330,0.5838,0.4858,2.31,2.0306
20210331,0.0266,0.0182,0.3639,0.2201
20210401,0.4159,0.3724,1.2986,1.2237
20210402,0.1656,0.1406,0.4787,0.3956
20210403,0.1067,0.0864,0.5158,0.2917
20210404,0.0353,0.0266,0.204,0.1474
20210405,0.0126,0.0093,0.082,0.0731
20210406,0.1669,0.1646,0.4253,0.4106
20210407,0.2878,0.2804,0.5668,0.5423
20210408,0.0348,0.0157,0.2275,0.1281
20210409,0.0069,0.0047,0.0982,0.0659
20210410,0.106,0.0875,0.3756,0.3162
