date,CMPAS_MAE,TMF_MAE,CMPAS_RMSE,TMF_RMSE
20210301,0.1162,0.1118,0.2561,0.251
20210302,0.0246,0.0211,0.0919,0.0856
20210303,0.0291,0.0245,0.1053,0.0878
20210304,0.0102,0.0022,0.2671,0.0241
20210305,0.0149,0.0122,0.0702,0.0645
20210306,0.0812,0.0585,0.2377,0.1821
20210307,0.059,0.0454,0.3785,0.1709
20210308,0.1405,0.1266,0.4728,0.441
20210309,0.0187,0.0044,0.4444,0.0469
20210310,0.0872,0.0726,0.3101,0.2675
20210311,0.0108,0.0075,0.073,0.0367
20210312,0.0048,0.0009,0.1856,0.0142
20210313,0.0014,0.0012,0.0288,0.0282
20210314,0.0025,0.0014,0.034,0.0251
20210315,0.2092,0.1777,1.072,0.9841
20210316,0.433,0.3512,1.601,1.4311
20210317,0.1918,0.1181,1.1187,0.8075
20210318,0.2035,0.1572,0.8406,0.7073
20210319,0.0633,0.0467,0.2892,0.2236
20210320,0.1928,0.169,0.4289,0.4022
20210321,0.2905,0.2648,0.5298,0.4978
20210322,0.0187,0.0092,0.1158,0.0697
20210323,0.0155,0.0088,0.1995,0.178
20210324,0.0021,0.0015,0.0331,0.0222
20210325,0.0047,0.0034,0.0404,0.0335
20210326,0.127,0.1111,0.3074,0.2843
20210327,0.0344,0.0225,0.2896,0.1358
20210328,0.0022,0.0018,0.033,0.0322
20210329,0.0015,0.0011,0.0377,0.0349
20210330,0.6173,0.4522,2.3419,1.6818
20210331,0.0236,0.0172,0.1952,0.1708
20210401,0.4063,0.3552,1.2576,1.1554
20210402,0.1659,0.1418,0.4213,0.3761
20210403,0.1064,0.084,0.3775,0.2416
20210404,0.034,0.0232,0.1902,0.105
20210405,0.0115,0.0074,0.0575,0.0423
20210406,0.1686,0.1611,0.4344,0.4108
20210407,0.289,0.2769,0.5548,0.5345
20210408,0.0339,0.015,0.1976,0.1187
20210409,0.0088,0.0041,0.1586,0.047
20210410,0.1104,0.0953,0.3653,0.337
20210411,0.047,0.0403,0.2572,0.2265
20210412,0.0742,0.0643,0.3711,0.3243
20210413,0.0505,0.0356,0.3818,0.1849
20210414,0.1238,0.0906,0.8148,0.251
20210415,0.0432,0.0271,0.1579,0.1137
20210416,0.2595,0.2375,0.7963,0.6332
20210417,0.0249,0.02,0.0947,0.0811
20210418,0.0952,0.0805,0.4274,0.2533
20210419,0.0515,0.027,0.6797,0.2402
20210420,0.2146,0.1813,0.6632,0.583
20210421,0.092,0.0754,0.4685,0.404
20210422,0.0073,0.0027,0.2863,0.0224
20210423,0.1477,0.1298,0.8549,0.8438
20210424,0.4882,0.3908,1.4138,1.1333
20210425,0.1297,0.0983,0.3534,0.2793
20210426,0.1324,0.1091,0.3656,0.3385
20210427,0.0186,0.01,0.1411,0.1046
20210428,0.1493,0.0944,0.8853,0.8106
20210429,0.0101,0.0035,0.353,0.1355
20210430,0.0009,0.0008,0.0204,0.0201
20210501,0.0009,0.0008,0.023,0.0191
20210502,0.1256,0.1046,1.2817,1.0665
20210503,1.1706,1.0208,4.0345,3.4598
20210504,0.0618,0.0301,0.5901,0.4013
20210505,0.3821,0.3615,1.1176,1.0934
20210506,0.4785,0.4303,1.1635,1.0971
20210507,0.07,0.038,0.5169,0.1831
20210508,0.002,0.0016,0.023,0.0216
20210509,0.0276,0.0034,0.6168,0.0585
20210510,0.3039,0.1986,1.4871,1.119
20210511,0.413,0.332,1.5826,1.4236
20210512,0.036,0.0224,0.2228,0.1806
20210513,0.4688,0.3923,2.0231,1.8908
20210514,0.422,0.3402,1.7664,1.6313
20210515,0.8526,0.7308,3.1248,2.6175
20210516,0.3141,0.2684,1.054,0.9065
20210517,0.0618,0.041,0.3005,0.2077
20210518,0.0872,0.0716,0.3047,0.2526
20210519,0.1203,0.1008,0.4941,0.4525
20210520,0.0137,0.0071,0.1514,0.1134
20210521,0.0105,0.0072,0.0895,0.0789
20210522,0.1701,0.1369,0.7802,0.684
20210523,0.2757,0.2388,0.8856,0.7376
20210524,0.094,0.0707,0.311,0.2454
20210525,0.0671,0.0632,0.2427,0.2266
20210526,0.2946,0.284,0.7099,0.6899
20210527,0.0088,0.0036,0.0839,0.0222
20210528,0.0273,0.0203,0.1697,0.1099
20210529,0.2246,0.1692,0.8346,0.7121
20210530,0.0128,0.0038,0.2364,0.0308
20210531,0.0308,0.027,0.7306,0.7224
20210601,0.0609,0.0417,0.7325,0.7632
20210602,0.1288,0.0847,0.5781,0.4711
20210603,0.4741,0.4095,1.0844,0.959
20210604,0.0082,0.0036,0.0769,0.0413
20210605,0.0077,0.0009,0.3563,0.021
20210606,0.0058,0.0005,0.3108,0.0111
20210607,0.0014,0.0011,0.0251,0.0219
20210608,0.0165,0.0115,0.2688,0.2583
20210609,0.4058,0.3661,0.9914,0.899
20210610,0.1542,0.1292,0.6085,0.5409
20210611,0.129,0.1041,0.6934,0.6373
20210612,0.1476,0.1178,0.5757,0.4975
20210613,0.0226,0.0106,0.2503,0.1377
20210614,0.002,0.0007,0.0272,0.0088
20210615,0.0368,0.0176,0.4128,0.3049
20210616,0.055,0.0241,0.8097,0.5209
20210617,0.47,0.2636,2.4235,1.5334
20210618,0.8119,0.7566,2.8625,2.624
20210619,0.4346,0.3809,1.591,1.4986
20210620,0.1692,0.125,1.2877,1.1041
20210621,0.0164,0.0079,0.155,0.0753
20210622,0.0006,0.0005,0.0093,0.009
20210623,0.001,0.0009,0.0182,0.0176
20210624,0.0413,0.0205,0.2876,0.1904
20210625,0.1683,0.0898,0.8712,0.4633
20210626,0.1646,0.1348,0.8775,0.7365
20210627,0.8504,0.7034,2.9934,2.795
20210628,0.7154,0.4852,2.992,2.4441
20210629,0.6235,0.3671,2.7779,1.881
20210630,0.4276,0.2237,2.0084,1.4074
20210701,0.6784,0.4479,2.7095,1.9748
20210702,0.484,0.4008,1.4547,1.2257
20210703,0.2377,0.1894,0.9144,0.8078
20210704,0.2084,0.1654,0.8179,0.7289
20210705,1.0504,0.8022,3.1056,2.4677
20210706,0.4713,0.3363,1.9623,1.627
20210707,0.8577,0.6306,3.7156,3.18
20210708,0.893,0.6177,3.5285,2.5181
20210709,0.1726,0.1184,1.057,0.7578
20210710,0.1483,0.1238,0.9035,0.7776
20210711,0.5065,0.4298,1.932,1.6626
20210712,0.5836,0.4487,2.4784,2.0616
20210713,0.0108,0.0037,0.1932,0.0677
20210714,0.0016,0.0014,0.0209,0.0222
20210715,0.1371,0.0669,1.5551,0.8011
20210716,1.1786,0.8326,4.1176,2.8872
20210717,0.7632,0.6016,3.124,2.7756
20210718,0.3896,0.1951,2.2945,1.5898
20210719,0.8512,0.5839,3.8487,3.1336
20210720,0.3681,0.167,2.5672,1.3506
20210721,0.3097,0.1835,1.8998,1.5048
20210722,0.0546,0.0418,0.5851,0.5713
20210723,0.1509,0.0873,1.5579,1.0693
20210724,0.1852,0.0921,1.4022,0.8376
20210725,0.1139,0.0774,1.1302,1.0362
20210726,0.1419,0.0774,1.6072,1.1607
20210727,0.4779,0.3307,2.8455,2.4069
20210728,0.3277,0.1947,1.8106,1.5609
20210729,0.0457,0.0216,0.5943,0.3298
20210730,0.0331,0.0287,0.6613,0.6558
20210731,0.0088,0.007,0.2813,0.2755
