date,CMPAS_MAE,TMF_MAE,CMPAS_RMSE,TMF_RMSE
20210301,0.1186,0.1104,0.2775,0.2455
20210302,0.0244,0.0203,0.0968,0.0896
20210303,0.0286,0.0229,0.1635,0.0854
20210304,0.0038,0.0021,0.0331,0.0203
20210305,0.0163,0.0132,0.131,0.1294
20210306,0.0687,0.05,0.2025,0.1591
20210307,0.0587,0.0454,0.3683,0.1698
20210308,0.1428,0.1312,0.5106,0.4464
20210309,0.0119,0.0051,0.1716,0.0656
20210310,0.0978,0.08,0.3562,0.2904
20210311,0.0114,0.0081,0.0807,0.0432
20210312,0.0043,0.0014,0.1089,0.0423
20210313,0.0015,0.0013,0.0286,0.0273
20210314,0.0064,0.0025,0.2218,0.0531
20210315,0.2181,0.1878,1.1458,1.0319
20210316,0.394,0.3194,1.6454,1.4169
20210317,0.1941,0.1274,1.1344,0.9257
20210318,0.2215,0.1784,1.0025,0.8685
20210319,0.0653,0.05,0.3426,0.2738
20210320,0.1951,0.1689,0.4354,0.3898
20210321,0.2911,0.2652,0.5497,0.5146
20210322,0.0199,0.0083,0.2056,0.0716
20210323,0.012,0.007,0.1618,0.125
20210324,0.0031,0.0027,0.0718,0.0711
20210325,0.0058,0.0038,0.0904,0.0382
20210326,0.1306,0.1131,0.4191,0.316
20210327,0.0336,0.0198,0.3039,0.1126
20210328,0.0023,0.0018,0.0401,0.0362
20210329,0.0018,0.0012,0.0348,0.0268
20210330,0.5941,0.4803,2.367,1.9434
20210331,0.0236,0.0159,0.3091,0.1635
20210401,0.3885,0.3404,1.1991,1.066
20210402,0.1639,0.1384,0.4488,0.387
20210403,0.1073,0.0837,0.5234,0.2482
20210404,0.0328,0.0242,0.1598,0.1199
20210405,0.0127,0.009,0.0837,0.0805
20210406,0.1703,0.1638,0.4601,0.4198
20210407,0.2938,0.2803,0.5927,0.5598
20210408,0.0358,0.0153,0.2338,0.1311
20210409,0.0068,0.0042,0.1177,0.0704
20210410,0.1081,0.0889,0.3864,0.322
20210411,0.0435,0.0382,0.2169,0.1919
20210412,0.0755,0.0667,0.352,0.3258
20210413,0.0527,0.0362,0.4689,0.1617
20210414,0.1197,0.0946,0.5746,0.3147
20210415,0.0443,0.0293,0.2085,0.1763
20210416,0.2631,0.2454,0.7068,0.6658
20210417,0.0253,0.0197,0.1094,0.0856
20210418,0.086,0.0742,0.2956,0.2365
20210419,0.0432,0.0264,0.5159,0.2291
20210420,0.2272,0.1974,0.7058,0.6384
20210421,0.1083,0.0899,0.5846,0.5486
20210422,0.0053,0.0031,0.1689,0.0284
20210423,0.1384,0.1131,0.8735,0.8023
20210424,0.5129,0.4264,1.4915,1.266
20210425,0.1278,0.0986,0.3683,0.2859
20210426,0.1408,0.1144,0.4227,0.3645
20210427,0.0187,0.0098,0.1424,0.0811
20210428,0.1493,0.0848,0.7052,0.5401
20210429,0.0055,0.0014,0.1802,0.0352
20210430,0.0009,0.0008,0.0185,0.0178
20210501,0.0005,0.0004,0.0119,0.0111
20210502,0.1228,0.1067,1.8299,1.7364
20210503,1.202,1.1037,4.1415,3.6929
20210504,0.062,0.0346,0.5482,0.4054
20210505,0.3801,0.3587,1.1584,1.1146
20210506,0.4767,0.4244,1.1556,1.0711
20210507,0.0692,0.0388,0.2795,0.1835
20210508,0.0027,0.0019,0.0397,0.0219
20210509,0.0549,0.0099,0.9983,0.1797
20210510,0.2797,0.1833,1.3834,1.0812
20210511,0.3725,0.286,1.3852,1.1487
20210512,0.0405,0.0242,0.2232,0.1815
20210513,0.4811,0.3846,1.9008,1.6023
20210514,0.4578,0.379,1.9375,1.7923
20210515,0.8976,0.7575,3.3064,2.8231
20210516,0.319,0.2736,1.0575,0.9148
20210517,0.06,0.0417,0.459,0.2845
20210518,0.0883,0.0717,0.3175,0.2666
20210519,0.1157,0.0965,0.5067,0.4637
20210520,0.0122,0.0055,0.1111,0.0528
20210521,0.0173,0.0082,0.3476,0.0753
20210522,0.1793,0.1288,0.9229,0.6521
20210523,0.2857,0.2386,0.9202,0.6816
20210524,0.0917,0.0691,0.2883,0.2345
20210525,0.0679,0.0633,0.2598,0.2449
20210526,0.2951,0.28,0.7798,0.6883
20210527,0.0079,0.0042,0.0866,0.0468
20210528,0.0284,0.0227,0.1599,0.1335
20210529,0.2194,0.1657,0.8061,0.6925
20210530,0.0127,0.0044,0.1788,0.0357
20210531,0.0261,0.0238,0.6071,0.6012
20210601,0.052,0.0323,0.5971,0.4556
20210602,0.1145,0.0752,0.4751,0.3981
20210603,0.4954,0.4205,1.2159,1.036
20210604,0.0071,0.0029,0.0967,0.0353
20210605,0.0062,0.0011,0.2957,0.0248
20210606,0.0041,0.0005,0.2531,0.0112
20210607,0.0012,0.0009,0.0292,0.0216
20210608,0.0182,0.0111,0.3882,0.358
20210609,0.3958,0.3628,0.9555,0.8855
20210610,0.1451,0.1213,0.6518,0.5361
20210611,0.126,0.1034,0.674,0.6092
20210612,0.1583,0.1247,0.7078,0.5368
20210613,0.0284,0.0178,0.5081,0.433
20210614,0.0027,0.0011,0.0607,0.0177
20210615,0.0329,0.013,0.4172,0.2522
20210616,0.0473,0.0157,0.7534,0.3408
20210617,0.4981,0.3115,2.6403,1.9767
20210618,0.804,0.7172,2.7068,2.3625
20210619,0.4153,0.3626,1.4542,1.346
20210620,0.1806,0.135,1.1373,0.9335
20210621,0.0206,0.0113,0.2321,0.1579
20210622,0.001,0.0009,0.0391,0.0389
20210623,0.0013,0.0009,0.0248,0.0161
20210624,0.0442,0.0234,0.3035,0.2268
20210625,0.1695,0.0999,0.9769,0.6703
20210626,0.1802,0.1529,0.9651,0.8905
