date,CMPAS_MAE,TMF_MAE,CMPAS_RMSE,TMF_RMSE
20210301,0.1157,0.1097,0.2841,0.2483
20210302,0.0247,0.0212,0.0969,0.0886
20210303,0.029,0.0248,0.1499,0.0905
20210304,0.0054,0.0028,0.131,0.0306
20210305,0.0154,0.0131,0.0972,0.0821
20210306,0.0727,0.0534,0.2108,0.1666
20210307,0.0556,0.0456,0.2493,0.1652
20210308,0.1417,0.1322,0.4814,0.4528
20210309,0.012,0.0076,0.1975,0.1176
20210310,0.0957,0.0826,0.3497,0.3008
20210311,0.0121,0.0095,0.1028,0.0597
20210312,0.0051,0.0024,0.1722,0.0953
20210313,0.0017,0.0015,0.0423,0.0408
20210314,0.0066,0.0041,0.1943,0.127
20210315,0.2241,0.1959,1.1644,1.0627
20210316,0.3949,0.3316,1.5713,1.3689
20210317,0.1839,0.1269,1.1051,0.8674
20210318,0.2328,0.2065,1.0516,1.025
20210319,0.0638,0.0504,0.3171,0.2612
20210320,0.1954,0.1687,0.4383,0.3938
20210321,0.2913,0.2648,0.5832,0.5468
20210322,0.0219,0.0125,0.2448,0.144
20210323,0.0119,0.0076,0.1455,0.0934
20210324,0.0024,0.0021,0.0518,0.0504
20210325,0.0055,0.0042,0.0745,0.0533
20210326,0.1286,0.1128,0.3453,0.3017
20210327,0.0338,0.0218,0.3181,0.1192
20210328,0.0028,0.0019,0.1012,0.0362
20210329,0.0018,0.0014,0.0386,0.0308
20210330,0.587,0.4856,2.3305,2.0096
20210331,0.0263,0.0188,0.3385,0.2144
20210401,0.4081,0.3691,1.26,1.1616
20210402,0.1677,0.1449,0.4844,0.4131
20210403,0.1038,0.0856,0.463,0.2657
20210404,0.0346,0.0281,0.1929,0.1485
20210405,0.0125,0.0097,0.0794,0.0704
20210406,0.166,0.1583,0.4496,0.4208
20210407,0.2913,0.2802,0.5839,0.5562
20210408,0.0358,0.0186,0.2302,0.141
20210409,0.0071,0.0051,0.1056,0.0783
20210410,0.1069,0.0898,0.3742,0.3254
20210411,0.0463,0.0418,0.2677,0.2245
20210412,0.0733,0.0656,0.3623,0.3308
20210413,0.0519,0.0395,0.4404,0.2332
20210414,0.1209,0.0933,0.5621,0.3048
20210415,0.043,0.0294,0.1917,0.1501
20210416,0.2658,0.248,0.7629,0.6964
20210417,0.0253,0.0211,0.1097,0.089
20210418,0.0885,0.0792,0.3563,0.2855
20210419,0.0427,0.0295,0.4736,0.2245
20210420,0.2323,0.202,0.7408,0.6665
20210421,0.1047,0.0863,0.5587,0.5018
20210422,0.0044,0.0035,0.1132,0.0717
20210423,0.1393,0.1218,0.8515,0.9191
20210424,0.5082,0.4422,1.5019,1.3235
20210425,0.1267,0.0999,0.3546,0.287
20210426,0.1388,0.1158,0.4137,0.3695
20210427,0.0197,0.0121,0.1648,0.1107
20210428,0.1453,0.0913,0.6789,0.5277
20210429,0.0044,0.002,0.1652,0.0903
20210430,0.001,0.0009,0.0254,0.0227
20210501,0.0012,0.0009,0.1181,0.0777
20210502,0.1255,0.1134,1.7224,1.6834
20210503,1.2148,1.1251,4.2011,3.8731
20210504,0.0594,0.0374,0.5072,0.3851
20210505,0.3832,0.373,1.1802,1.176
20210506,0.4715,0.4277,1.1449,1.0818
20210507,0.0705,0.0412,0.3235,0.2197
