date,CMPAS_MAE,TMF_MAE,CMPAS_RMSE,TMF_RMSE
20210301,0.116,0.1085,0.2753,0.245
20210302,0.0247,0.0206,0.0994,0.0914
20210303,0.0294,0.0242,0.1595,0.0891
20210304,0.0056,0.0024,0.1413,0.0271
20210305,0.0147,0.012,0.0706,0.0626
20210306,0.0728,0.0523,0.2115,0.1623
20210307,0.0557,0.0438,0.3041,0.1731
20210308,0.1423,0.1307,0.501,0.4497
20210309,0.0122,0.0052,0.2076,0.0698
20210310,0.0962,0.0799,0.3465,0.2952
20210311,0.0126,0.009,0.1267,0.055
20210312,0.0049,0.0009,0.1808,0.0143
20210313,0.0016,0.0013,0.0371,0.0365
20210314,0.0074,0.0027,0.2155,0.07
20210315,0.2328,0.1968,1.2153,1.0734
20210316,0.3876,0.3223,1.5325,1.3734
20210317,0.1898,0.1266,1.1388,0.9411
20210318,0.2362,0.1901,1.0786,0.9293
20210319,0.0641,0.0486,0.3123,0.2536
20210320,0.1946,0.1684,0.4366,0.39
20210321,0.2898,0.2615,0.5645,0.515
20210322,0.0213,0.0081,0.2201,0.0594
20210323,0.0115,0.0064,0.1423,0.0903
20210324,0.0025,0.0022,0.0546,0.0529
20210325,0.0051,0.0038,0.0446,0.039
20210326,0.128,0.1128,0.3326,0.3119
20210327,0.0338,0.0208,0.3048,0.115
20210328,0.0025,0.0018,0.0446,0.0339
20210329,0.0017,0.0011,0.0381,0.0229
20210330,0.5955,0.4735,2.3369,1.9669
20210331,0.027,0.0192,0.3502,0.1966
20210401,0.406,0.363,1.2738,1.1903
20210402,0.1661,0.1418,0.4681,0.397
20210403,0.1042,0.0836,0.4524,0.239
20210404,0.0342,0.0262,0.1777,0.1425
20210405,0.0122,0.0088,0.0696,0.0559
20210406,0.1643,0.1556,0.4549,0.422
20210407,0.2906,0.2774,0.5808,0.5494
20210408,0.0361,0.0165,0.229,0.1346
20210409,0.0068,0.0042,0.1025,0.0679
20210410,0.1053,0.0871,0.3778,0.3204
20210411,0.0459,0.0401,0.2388,0.2065
20210412,0.0748,0.0664,0.3736,0.3379
20210413,0.0517,0.036,0.46,0.1634
20210414,0.1229,0.0919,0.5921,0.2907
20210415,0.0436,0.0295,0.1847,0.1582
20210416,0.2622,0.2448,0.7281,0.6666
20210417,0.0251,0.0198,0.1168,0.0904
20210418,0.0871,0.0747,0.345,0.2414
20210419,0.0438,0.0253,0.5062,0.1923
20210420,0.2386,0.2045,0.7677,0.6811
20210421,0.1039,0.0852,0.5496,0.4889
20210422,0.005,0.0038,0.1604,0.1025
20210423,0.1418,0.1142,0.8758,0.7453
20210424,0.5156,0.4249,1.5208,1.2505
20210425,0.1258,0.0965,0.359,0.2784
20210426,0.137,0.1104,0.4066,0.3434
20210427,0.0195,0.0101,0.1691,0.1109
20210428,0.1424,0.0847,0.6534,0.492
20210429,0.0047,0.0011,0.1718,0.0166
20210430,0.0009,0.0007,0.0173,0.0163
20210501,0.0016,0.0011,0.144,0.094
20210502,0.1324,0.1183,1.8254,1.781
20210503,1.2037,1.1044,4.1737,3.6738
20210504,0.0612,0.0327,0.5162,0.3547
20210505,0.3887,0.3679,1.197,1.1729
20210506,0.469,0.4244,1.1335,1.0762
20210507,0.0705,0.0411,0.3381,0.2027
20210508,0.0027,0.0022,0.0355,0.0295
20210509,0.0478,0.0086,0.9067,0.2287
20210510,0.2789,0.1883,1.3746,1.0763
20210511,0.3901,0.3073,1.4253,1.1937
20210512,0.0407,0.0254,0.2409,0.1968
20210513,0.4444,0.3624,1.7506,1.5078
20210514,0.4467,0.3579,1.9567,1.7353
20210515,0.8818,0.7585,3.2763,2.843
20210516,0.3132,0.2687,1.0307,0.9069
20210517,0.0621,0.0427,0.4079,0.2683
20210518,0.085,0.068,0.3135,0.2611
20210519,0.1071,0.0907,0.4643,0.429
20210520,0.0131,0.0066,0.1172,0.0605
20210521,0.0133,0.009,0.2386,0.1145
20210522,0.1779,0.1309,0.9277,0.704
20210523,0.2934,0.2461,1.0245,0.7376
20210524,0.0919,0.07,0.2875,0.2315
20210525,0.0689,0.0642,0.2623,0.2485
20210526,0.2931,0.2805,0.7365,0.6865
20210527,0.008,0.0047,0.0766,0.0455
20210528,0.0276,0.0215,0.1587,0.1273
20210529,0.2203,0.165,0.8267,0.703
20210530,0.012,0.0044,0.1598,0.0367
20210531,0.0253,0.0226,0.5537,0.5469
20210601,0.063,0.0388,0.7686,0.5665
20210602,0.1154,0.0776,0.4811,0.3986
20210603,0.488,0.4141,1.2072,1.0172
20210604,0.0078,0.0036,0.1738,0.0774
20210605,0.0045,0.0015,0.2114,0.0429
20210606,0.0031,0.002,0.2208,0.1371
20210607,0.001,0.0007,0.0235,0.018
20210608,0.0184,0.0119,0.4111,0.3929
20210609,0.4075,0.3714,0.9808,0.9019
20210610,0.1484,0.1245,0.649,0.5594
20210611,0.1325,0.1075,0.741,0.6889
20210612,0.1572,0.1251,0.6351,0.5433
20210613,0.0293,0.0176,0.5049,0.355
20210614,0.0046,0.0028,0.1258,0.0792
20210615,0.0383,0.0153,0.4683,0.3048
20210616,0.0409,0.0155,0.5955,0.3134
20210617,0.4903,0.2966,2.706,1.8847
20210618,0.7803,0.7109,2.6045,2.4082
20210619,0.4321,0.3765,1.5034,1.3978
20210620,0.1735,0.1328,1.0857,0.9126
20210621,0.0227,0.0139,0.2458,0.1948
20210622,0.0008,0.0007,0.0178,0.0173
20210623,0.0013,0.0011,0.0231,0.0182
20210624,0.044,0.024,0.3058,0.2378
20210625,0.1761,0.1118,1.0562,0.818
20210626,0.1733,0.1501,0.9615,0.9295
20210627,0.79,0.6344,2.964,2.6255
20210628,0.7481,0.5116,3.0507,2.5108
20210629,0.6743,0.3853,3.0003,1.9878
20210630,0.4465,0.2396,2.2071,1.5262
20210701,0.6845,0.5032,2.7747,2.3427
20210702,0.523,0.4386,1.5936,1.2999
20210703,0.2505,0.1962,0.9857,0.8521
20210704,0.2159,0.1718,0.9045,0.7853
20210705,1.0203,0.8039,2.9851,2.4766
20210706,0.4825,0.3378,1.9632,1.5929
20210707,0.8572,0.6274,3.6062,2.8945
20210708,0.9161,0.6968,3.5404,2.8847
20210709,0.1822,0.1335,1.1928,0.8738
20210710,0.1864,0.1412,1.3123,0.9237
20210711,0.5179,0.4485,2.072,1.8406
20210712,0.5505,0.4602,2.5088,2.3231
20210713,0.0093,0.0052,0.2471,0.2031
20210714,0.0027,0.002,0.0874,0.0621
20210715,0.12,0.0788,1.4355,1.0843
20210716,1.1864,0.8986,3.9844,3.1947
20210717,0.7264,0.5824,2.958,2.606
20210718,0.3526,0.1947,2.1217,1.6536
20210719,0.8096,0.514,3.7463,2.8082
20210720,0.3268,0.1553,2.4903,1.3662
20210721,0.3155,0.1801,1.7956,1.3993
20210722,0.0718,0.0515,0.831,0.7582
20210723,0.146,0.0873,1.4651,1.1016
20210724,0.1596,0.0712,1.3269,0.7623
20210725,0.1124,0.0722,1.1335,0.8587
20210726,0.1379,0.0787,1.5122,1.1501
20210727,0.4606,0.2724,2.6153,2.0691
20210728,0.284,0.1549,1.6245,1.2713
20210729,0.0568,0.0364,0.8043,0.6346
20210730,0.0286,0.0208,0.5739,0.519
20210731,0.0127,0.0105,0.4433,0.4362
