date,CMPAS_MAE,TMF_MAE,CMPAS_RMSE,TMF_RMSE
20210301,0.1156,0.1093,0.2793,0.2475
20210302,0.0247,0.0207,0.0948,0.0865
20210303,0.029,0.0245,0.1527,0.0904
20210304,0.0058,0.0037,0.1401,0.0675
20210305,0.0156,0.013,0.1006,0.0841
20210306,0.0724,0.0526,0.2083,0.1642
20210307,0.0574,0.0466,0.2843,0.1903
20210308,0.1398,0.1294,0.4782,0.4458
20210309,0.0121,0.0064,0.2057,0.097
20210310,0.0968,0.0814,0.3918,0.3375
20210311,0.0125,0.0091,0.129,0.06
20210312,0.0051,0.0014,0.1672,0.0491
20210313,0.0017,0.0014,0.0424,0.0409
20210314,0.0069,0.0036,0.1879,0.0817
20210315,0.2272,0.1918,1.1969,1.0641
20210316,0.3968,0.3267,1.5703,1.3484
20210317,0.1881,0.1257,1.1306,0.9091
20210318,0.2401,0.2018,1.1013,0.9707
20210319,0.0641,0.049,0.3156,0.2595
20210320,0.1959,0.1694,0.4417,0.395
20210321,0.2912,0.2665,0.5806,0.5386
20210322,0.0215,0.0097,0.2399,0.0686
20210323,0.0116,0.0069,0.1375,0.0744
20210324,0.0024,0.0021,0.0533,0.0519
20210325,0.0054,0.0039,0.0773,0.0425
20210326,0.1276,0.1118,0.3578,0.3069
20210327,0.0337,0.0222,0.3028,0.1505
20210328,0.0024,0.0018,0.0406,0.0307
20210329,0.0018,0.0013,0.0391,0.0277
20210330,0.5823,0.4827,2.2956,1.9612
20210331,0.0259,0.0181,0.3224,0.1932
20210401,0.4049,0.3642,1.271,1.1835
20210402,0.1667,0.1408,0.4833,0.396
20210403,0.1052,0.0842,0.4971,0.2432
20210404,0.0348,0.0272,0.1955,0.1479
20210405,0.0126,0.0092,0.0797,0.0695
20210406,0.1672,0.1599,0.4541,0.4252
20210407,0.2896,0.2755,0.5791,0.5483
20210408,0.0357,0.0177,0.2304,0.1359
20210409,0.007,0.0046,0.1069,0.077
20210410,0.1064,0.0889,0.3662,0.3194
20210411,0.0462,0.0407,0.2758,0.2179
20210412,0.0745,0.0673,0.3681,0.3356
20210413,0.053,0.0381,0.4657,0.1898
20210414,0.1209,0.0923,0.5553,0.2898
20210415,0.0426,0.029,0.1892,0.1418
20210416,0.263,0.2437,0.741,0.6717
20210417,0.0252,0.02,0.1083,0.0815
20210418,0.0888,0.077,0.3666,0.2565
20210419,0.0421,0.0294,0.4584,0.2569
20210420,0.2333,0.2012,0.7496,0.6749
20210421,0.1047,0.0892,0.5548,0.5059
20210422,0.0051,0.0036,0.1714,0.0894
20210423,0.1365,0.1098,0.8427,0.7321
20210424,0.5056,0.4292,1.495,1.2565
20210425,0.1271,0.0993,0.3557,0.2894
20210426,0.1386,0.1114,0.412,0.3516
20210427,0.0196,0.0112,0.1588,0.1051
20210428,0.1443,0.0869,0.6792,0.5294
20210429,0.0041,0.0014,0.1537,0.0531
20210430,0.001,0.0009,0.0262,0.0238
20210501,0.0013,0.001,0.1249,0.0816
20210502,0.1243,0.1038,1.6647,1.5857
20210503,1.2039,1.1236,4.1721,3.7877
20210504,0.0577,0.0337,0.4988,0.3477
20210505,0.3859,0.3674,1.2147,1.1974
20210506,0.4723,0.4294,1.1499,1.0817
20210507,0.0713,0.0416,0.3648,0.2302
20210508,0.0025,0.0019,0.0337,0.029
20210509,0.0468,0.0138,0.9019,0.2989
20210510,0.2911,0.1999,1.4205,1.1462
20210511,0.394,0.314,1.4649,1.2558
20210512,0.0425,0.0277,0.2577,0.2085
20210513,0.4437,0.3582,1.7643,1.5408
20210514,0.4515,0.3774,1.9528,1.7775
20210515,0.8698,0.7526,3.2173,2.849
20210516,0.3162,0.2708,1.0394,0.9013
20210517,0.0602,0.0422,0.3796,0.2582
20210518,0.0858,0.0697,0.3117,0.2613
20210519,0.1097,0.0933,0.4833,0.4514
20210520,0.0126,0.0071,0.1125,0.057
20210521,0.0137,0.01,0.2343,0.1232
20210522,0.1786,0.1379,0.9156,0.6858
20210523,0.2868,0.2461,0.952,0.7516
20210524,0.0911,0.0699,0.2842,0.2313
20210525,0.0667,0.0629,0.2515,0.2385
20210526,0.2958,0.2822,0.7606,0.6999
20210527,0.0081,0.005,0.0762,0.049
20210528,0.0283,0.0221,0.1698,0.1329
20210529,0.2189,0.1667,0.814,0.6878
20210530,0.0125,0.0048,0.1702,0.0361
20210531,0.0228,0.0205,0.4972,0.492
20210601,0.058,0.0383,0.7155,0.5985
20210602,0.1141,0.0773,0.4844,0.4099
20210603,0.4843,0.4145,1.2014,1.0122
20210604,0.0082,0.0049,0.1828,0.1016
20210605,0.005,0.0015,0.2356,0.0404
20210606,0.0022,0.0008,0.1597,0.0357
20210607,0.001,0.0008,0.0255,0.0197
20210608,0.0183,0.0124,0.3879,0.3578
20210609,0.4047,0.37,0.9759,0.9088
20210610,0.1489,0.1267,0.6552,0.5541
20210611,0.1326,0.1117,0.7359,0.6983
20210612,0.1618,0.1294,0.6779,0.5579
20210613,0.0292,0.0233,0.4869,0.5364
20210614,0.0044,0.0029,0.1431,0.1158
20210615,0.039,0.0155,0.4743,0.2973
20210616,0.0406,0.0165,0.6357,0.3304
20210617,0.4764,0.2955,2.6249,1.9656
20210618,0.787,0.6973,2.6825,2.3688
20210619,0.4264,0.3774,1.4968,1.4007
20210620,0.1684,0.1316,1.1099,0.9048
20210621,0.0223,0.0146,0.2402,0.2031
20210622,0.0008,0.0007,0.0238,0.0235
20210623,0.0013,0.0011,0.0236,0.0199
20210624,0.0439,0.0237,0.3035,0.2251
20210625,0.1746,0.1109,1.0123,0.8197
20210626,0.1689,0.1495,0.9227,0.9078
20210627,0.8,0.6445,2.9673,2.7093
20210628,0.7715,0.53,3.2573,2.7745
20210629,0.6582,0.3852,2.9226,2.0628
20210630,0.4434,0.2448,2.1705,1.4971
20210701,0.7046,0.528,2.8691,2.4903
20210702,0.5179,0.4425,1.5471,1.2949
20210703,0.2511,0.2067,0.9888,0.8632
20210704,0.2174,0.1719,0.9063,0.8026
20210705,1.0373,0.8133,3.0541,2.4749
20210706,0.4812,0.3395,1.9614,1.6096
20210707,0.8574,0.6367,3.5865,2.9781
20210708,0.9424,0.7266,3.6395,3.0628
20210709,0.1797,0.1314,1.1388,0.8358
20210710,0.1892,0.1542,1.3573,1.1354
20210711,0.513,0.45,2.0229,1.8234
20210712,0.5568,0.4736,2.5623,2.4098
20210713,0.0075,0.0043,0.2052,0.1708
20210714,0.0024,0.0019,0.0771,0.0552
20210715,0.122,0.0914,1.405,1.2458
20210716,1.168,0.9304,3.9013,3.2066
20210717,0.7241,0.5719,2.9287,2.5654
20210718,0.3514,0.1893,2.0987,1.6225
20210719,0.8122,0.5137,3.7948,2.8669
20210720,0.3391,0.1665,2.5297,1.4534
20210721,0.3184,0.1908,1.8191,1.4322
20210722,0.0775,0.0579,0.9184,0.8757
20210723,0.1402,0.0912,1.453,1.1431
20210724,0.1615,0.079,1.3857,0.836
20210725,0.119,0.0679,1.185,0.9657
20210726,0.1377,0.0772,1.5676,1.1915
20210727,0.4666,0.2958,2.6991,2.184
20210728,0.293,0.166,1.714,1.3415
20210729,0.0623,0.0395,0.8075,0.6416
20210730,0.0277,0.0192,0.5435,0.4666
20210731,0.0114,0.0091,0.3573,0.3448
