date,CMPAS_MAE,TMF_MAE,CMPAS_RMSE,TMF_RMSE
20210301,0.1168,0.1101,0.2774,0.2611
20210302,0.0242,0.0196,0.0856,0.0745
20210303,0.0295,0.0229,0.1896,0.0823
20210304,0.0073,0.002,0.1943,0.0194
20210305,0.0149,0.0118,0.0731,0.067
20210306,0.071,0.0499,0.2112,0.1519
20210307,0.0581,0.0451,0.2184,0.1542
20210308,0.1391,0.1284,0.4677,0.4385
20210309,0.0088,0.0034,0.0929,0.0331
20210310,0.0959,0.0793,0.3569,0.2845
20210311,0.0134,0.0086,0.1393,0.059
20210312,0.0056,0.0008,0.1914,0.0152
20210313,0.0015,0.001,0.0241,0.0153
20210314,0.0065,0.0027,0.1639,0.043
20210315,0.2331,0.1942,1.2407,1.029
20210316,0.4052,0.3309,1.56,1.3493
20210317,0.2025,0.1295,1.2266,0.9528
20210318,0.2487,0.1959,1.2393,1.0322
20210319,0.0656,0.0482,0.3179,0.2414
20210320,0.1974,0.1698,0.4542,0.3979
20210321,0.295,0.267,0.5672,0.5153
20210322,0.0218,0.0076,0.2138,0.0501
20210323,0.0118,0.0068,0.0993,0.0695
20210324,0.0027,0.0024,0.0579,0.0571
20210325,0.0046,0.0033,0.0386,0.0328
20210326,0.1254,0.1104,0.3115,0.2886
20210327,0.0345,0.0199,0.3159,0.1137
20210328,0.0022,0.0015,0.0271,0.0153
20210329,0.0015,0.0011,0.0283,0.0244
20210330,0.5772,0.4687,2.2384,1.8524
20210331,0.0217,0.0157,0.1931,0.1596
20210401,0.4205,0.3647,1.2963,1.1304
20210402,0.1616,0.1382,0.4429,0.3718
20210403,0.1014,0.0856,0.273,0.2452
20210404,0.0364,0.0255,0.2316,0.1393
20210405,0.014,0.0096,0.0831,0.0661
20210406,0.1729,0.1626,0.4817,0.4382
20210407,0.2868,0.2801,0.5523,0.5415
20210408,0.0334,0.0156,0.2101,0.1312
20210409,0.0051,0.0037,0.0579,0.0495
20210410,0.1049,0.0884,0.3589,0.3254
20210411,0.0462,0.0394,0.2336,0.2036
20210412,0.0708,0.061,0.344,0.3023
20210413,0.0497,0.0389,0.3537,0.1862
20210414,0.1241,0.089,0.6998,0.2775
20210415,0.0444,0.0294,0.212,0.1873
20210416,0.2616,0.2501,0.6945,0.6661
20210417,0.0244,0.019,0.09,0.0776
20210418,0.0852,0.0744,0.285,0.242
20210419,0.0367,0.0258,0.3398,0.2395
20210420,0.2232,0.1901,0.7174,0.6323
20210421,0.0961,0.0804,0.5304,0.4708
